Tweet ID,Text,Created at,Like count,Retweet count,Reply count,User,User Location,User Followers Count
1667217822429204481,Our strategic investment in talent exploitation will ensure the delivery of the finest pools of skilled and gifted youth who will amplify our output in the sporting and creative fields. https://t.co/ZJgGvGfWdy,2023-06-09 17:11:18+00:00,1539,195,0,WilliamsRuto,Kenya,5982033
1667183376334299136,"Mr Joseph Ng’ang’a (CEO, Africa Climate Summit), Mr Simon Harford, CEO Global Energy Alliance for People and Planet and Mr William Asiko, the Vice-President Rockefeller Foundation Africa, were present, State House, Nairobi. https://t.co/HUclniDdL5",2023-06-09 14:54:26+00:00,197,31,0,WilliamsRuto,Kenya,5982033
1667183372169363457,Grateful to the Rockefeller Foundation for its Ksh139 Million boost towards the inaugural Africa Climate Summit that will be co-hosted by Kenya and the African Union Commission between September 4th and 6th. https://t.co/vcDrMBVBIH,2023-06-09 14:54:25+00:00,260,35,0,WilliamsRuto,Kenya,5982033
1667178783365816320,"Combating the devastating consequences of climate change requires a sharper focus than ever. A bolder, collective and innovative action will make us leapfrog to a cleaner and more resilient world for all. This is a race that we must win. https://t.co/0QNUW9xVBR",2023-06-09 14:36:11+00:00,990,143,0,WilliamsRuto,Kenya,5982033
1667163020487970816,"Unveiling the 70th Anniversary of the Safari Rally and the Launch of the Sports and Creative Economy Plan, State House, Nairobi. https://t.co/3q9pKmPrcQ",2023-06-09 13:33:33+00:00,966,131,0,WilliamsRuto,Kenya,5982033
1666888050641707010,"Kenya will continue to build friendship with like-minded countries across the globe to push for stability in the Horn of Africa and champion for free trade and investment so as to accelerate the transformation of our continent.

On the sidelines of the 22nd COMESA Summit of Heads… https://t.co/7iAc2VQLzB https://t.co/GhZGaxu0OV",2023-06-08 19:20:55+00:00,1403,200,0,WilliamsRuto,Kenya,5982033
1666788687420456960,"During the 22nd COMESA Summit of Heads of State and Government in Lusaka, Zambia.
Presidents Abdel Fattah El-Sisi (Egypt), Hakainde Hichilema (Zambia), Lazarus Chakwera (Malawi), Évariste Ndayishimiye (Burundi) and COMESA Secretary General Chileshe Kapwepwe were present. https://t.co/hm9LcWKayQ",2023-06-08 12:46:05+00:00,286,47,0,WilliamsRuto,Kenya,5982033
1666788684652322817,"It is for this reason that we must partner, share knowledge and experiences on value addition — especially of agricultural commodities — to enhance productivity, offer higher returns, incentivise industrialisation, boost our competitiveness and create more jobs. https://t.co/d7R46EmaGb",2023-06-08 12:46:04+00:00,310,50,0,WilliamsRuto,Kenya,5982033
1666788681527574531,The business-as-usual approach to trade in the Common Market for Eastern and Southern Africa is unfashionable and unacceptable. We need a systemic shift in the intra-COMESA trade to exploit the many economic opportunities that the 21-member bloc presents. https://t.co/MFnqQIXj0q,2023-06-08 12:46:03+00:00,1320,175,1,WilliamsRuto,Kenya,5982033
1666522855016747027,"During a bilateral meeting with Ministers of Foreign Affairs of The Netherlands, Belgium and Luxembourg (Benelux) at @StateHouseKenya, Nairobi; they were Wopke Hoekstra, Hadja Lahbib and Jean Asselborn. https://t.co/3pitmi224r",2023-06-07 19:09:45+00:00,256,42,0,WilliamsRuto,Kenya,5982033
